Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Vanuatu,VUT,144,137,132,127,121,116,110,106,101,98,94,91,87,84,81,78
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,"Venezuela, RB",VEN,90,94,103,99,95,93,96,97,97,98,99,99,98,98,97,95
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Vietnam,VNM,81,76,72,68,64,61,59,58,58,57,58,56,56,55,54,54
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,West Bank and Gaza,PSE,72,70,68,66,64,62,61,60,58,56,54,52,50,48,47,45
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,"Yemen, Rep.",YEM,440,435,431,429,429,428,428,424,417,417,416,413,410,406,398,385
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Zambia,ZMB,541,518,493,472,414,372,338,311,289,274,262,251,243,237,231,224
"Maternal mortality ratio (per 100,000 live births)",SH.STA.MMRT,Zimbabwe,ZWE,590,621,642,657,648,629,600,564,533,485,446,409,379,369,401,443
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,
Last Updated: 04/27/2017,,,,,,,,,,,,,,,,,,,
