Series Name,Series Code,Country Name,Country Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,367949212949.213,401335356600.91,435571294412.271,399293902190.87,388672139365.835,414951956289.644,378459268004.723,394196316450.398,466348281887.012,612695262483.995,693075477371.824,746880802635.52,853053309256.497,1054557743957.03,926563834486.821,1142250506474.06,1389919156068.22,1537477830480.51,1563950959269.52,1454675479665.84,1339140527498.13
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,240457622492.152,236720496490.772,212323463750.141,217683626056.025,216725261027.062,196421706283.398,196953628635.347,212970685111.989,260721478555.305,299857238639.185,314648986444.472,334309371471.584,386458951546.674,427611527757.434,397594276187.83,390235099337.748,429010675562.969,407451583084.239,428248420485.175,438376178526.317,376950249528.668
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,3052467522.36104,3176749593.11788,3962710163.11167,4446396217.63265,4581222442.45783,5272617196.04517,5707618246.56848,6236024951.20423,7275766111.24309,8680511918.49357,13245421880.834,20983019923.8863,33050343782.7759,48852482960.0779,44291490420.5026,52902703376.1056,65951627200.2026,68730906313.6456,73560484384.9586,75198010965.1919,53047140347.4527
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,3429000000,3609000000,4961119000,5353524000,6019972000,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7909580000,7889750000,8399031000,8521997500,8617738100,8853519100
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,5849467819.14894,6101861436.17021,6349202393.61702,6183776595.74468,6621010372.34043,9062906914.89362,8976207712.76596,9632155053.19149,11074822074.4681,13150166755.3191,15968726861.7021,18505053191.4894,21730000000,25710877659.5745,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539441489.3617,33387712765.9575,31125851063.8298
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,37939748051.3878,46438482370.3942,48244308274.8086,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078665827.565
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,2261996995.18515,2411846465.43502,2549260575.07039,2874413287.26735,3012021852.2502,3121619807.97687,3116632412.98352,3169612598.33334,3274856571.16603,3514370691.25564,3897467233.85757,4303275572.40198,4546115388.40716,4595264666.36232,4601200362.60463,4446829722.72591,4358920097.55454,4332141067.26626,4371196622.64321,4352734313.10536,4385250000
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,13972637603.2102,14756861538.4615,14128412417.193,15222014828.3039,12138485328.6267,12736856485.1068,12354820143.8849,14594925392.9691,17825436034.5366,23141587717.7633,30210091836.8294,36961821893.6976,45275747860.6442,60752177438.8895,49208656976.039,55220932613.958,59734593904.6402,63615445566.8483,73097619636.8208,76103961203.4406,54608962634.9908
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,289567597153.804,281357654723.127,254813937753.721,260602356079.129,260202429149.798,237904919845.218,237841610738.255,258860342555.995,319003386004.515,370885274397.815,387365999253.824,409813072387.404,471821790309.335,518626043650.212,484552653514.865,483577483443.709,526975257158.743,497884088082.651,520091913424.264,531761517044.614,455085948763.447
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,620140400,641383800,654314350,688992450,732732350,832072450,871860600,932551850,990374038.916065,1057845487.01254,1114222545.68238,1217467601.14436,1290573396.53153,1369603993.98571,1338515647.69315,1398362215.83775,1488894464.89739,1573867323.54972,1625828111.72853,1717861729.53812,1752861127.94553
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,2169627250.93379,2361116587.86079,2268301537.65128,2455092582.30927,2689787917.50711,2569186642.86999,2680213931.46472,3054571081.6912,3905366187.87017,4521424807.22519,4803702821.08056,5142380779.44103,5969535131.58016,7132787396.66547,7097198711.61023,6970240895.49888,7814081155.64988,8152554487.31321,9156748441.42175,9707432015.61441,8290986804.45245
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,,
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,303053462.843047,316420860.852385,365964500.137703,376955087.251575,419035810.496981,439158233.199822,476360697.181606,537050133.717342,622026107.771576,702682018.976169,818869145.124717,897731524.929922,1196091805.02316,1258332337.28382,1264758197.96593,1585472534.10547,1820207625.80217,1823692109.61652,1798333725.83954,1958819914.95916,2057947621.19283
